,galaxy_id,obs_id,delta,mjd,flujo,flujo err,mag,mag_err,img_id,psf obs,seeing convolucion,AGN_frac,residuo,residual rms,flujo pre,flujo err pre,mag pre,mag_err pre
47,125,8,0.2,57071.33166989243,3406.22777420044,48.05809685605696,21.00045565894371,0.015322362538972218,411446,1.0110760632741234,5.118924473322357,0.20033538802109183,"[[-2.013095   13.927466   -3.9448438  ... 14.331693    0.48892832
  -8.195188  ]
 [-2.3382597   5.2554584   0.4891048  ... -6.9641137  -4.957151
   3.539706  ]
 [ 5.3238087   3.530184   -6.658068   ...  3.8527284   4.572402
   1.0529578 ]
 ...
 [ 9.306727    0.41355747  1.8932201  ... -0.99112225  0.80031157
  -2.2899244 ]
 [-2.754116    0.35424036 -5.2060733  ...  2.05827    -3.2065344
   0.6268307 ]
 [-4.5636287   5.288099   -1.2511255  ...  6.566196    3.7410607
  -1.6150061 ]]",20.749601,8616.319978637697,60.46825532390314,19.992835326789237,0.007627255034315619
48,150,1,0.2,57070.12849006801,975.8348559570313,41.223668581890514,22.45637683721226,0.04586743943269228,410905,1.0152919621046252,5.790169906610322,0.11516491120811831,"[[ 4.375806   -4.591444   -3.4579754  ... -3.9590619   6.8149743
  -0.49408558]
 [-2.0020802   0.9137841  13.841536   ...  2.0375848   8.028552
  -4.920738  ]
 [ 0.8201833  -4.1923175  -3.3609145  ...  1.087306    2.2310877
  -4.0633717 ]
 ...
 [-2.940103   -1.8746133  18.42747    ...  3.2304091  -4.8948274
  -4.135095  ]
 [ 4.761599    6.7598796   2.064794   ...  8.5931635   2.6290689
   0.6477126 ]
 [-3.569788    7.0660124   6.748709   ... -2.6440883   7.3082514
  -1.331147  ]]",11.198432,3189.9836453247062,47.636452710230444,21.170346512667496,0.016216391140837866
49,150,2,0.2,57070.21393502304,3331.0558314514165,47.149144898553914,21.13129083601219,0.015371783477912517,410961,1.0383677507719156,4.167975838691758,0.17182000625612398,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,3331.0558314514165,47.149144898553914,21.13129083601219,0.015371783477912517
50,150,3,0.2,57070.28257967249,1077.8551036071779,40.430381730252115,22.330762813724824,0.040727293790806744,411011,1.0186706055065107,5.43945666835879,0.15821891200699612,"[[  6.9069457   -4.244334    -0.23336482 ...   1.8701057   -0.5989476
   -2.697133  ]
 [  5.4488616   -2.05271      3.2163472  ...  -2.8086927   19.133873
    0.41189876]
 [ -2.496029    -3.5010023    0.5753158  ...  -5.9112       5.8495803
    0.6503866 ]
 ...
 [  1.4398813  -11.826229    -2.9570937  ... -11.819064     3.1322396
   -0.6542003 ]
 [ -0.28009263   0.5565867    1.287895   ...   1.0739698    2.1277437
   -5.798501  ]
 [ -2.0179102    3.5734544    3.4850242  ...   6.8295126    1.105237
   -1.1286058 ]]",10.764767,3211.420910644532,46.7268543586424,21.14542069260276,0.015801021349779874
51,150,4,0.2,57071.05728660731,1360.4585220336915,42.463384158510756,21.987902278376406,0.03389021135674658,411245,1.0246524242937844,5.602761826127907,0.15554906929701862,"[[ -3.1928144    2.9015658   -4.5011363  ... -14.340419     3.3563132
    8.162388  ]
 [  1.230535    -5.516773   -14.329498   ...  -0.18084022  -5.4557247
   -5.15774   ]
 [ -4.663886     6.8624926   -3.0727894  ...  -4.838153    -2.9140446
   -3.3344128 ]
 ...
 [ -6.193277    -7.597373    -0.82529277 ...  -3.6167161   -1.9957831
    0.26545715]
 [  3.2348828    8.028656     5.455725   ...  -1.5566179   -5.6369133
    2.4915943 ]
 [  4.0542855   -4.815651    -0.9315499  ...  -1.1405222    5.4132967
    0.62375367]]",9.968349,3282.7048567962647,47.998510859227316,21.031535947746658,0.015878679229236213
52,150,5,0.2,57071.12506984007,1392.1450308227543,41.486313091030304,22.050710756464404,0.03235725453226469,411295,0.9012928072747344,5.26234825209668,0.11683378912669065,"[[  6.9051175   6.5839095  -9.858459  ...   3.7088609   6.7882614
    0.2373575]
 [ -2.8795881  -1.6000168  -6.7582006 ...   0.9172032  -7.373237
    6.734751 ]
 [ -2.7698193   4.191397    3.9860315 ...   1.4811237  -7.3899074
   -1.0668888]
 ...
 [  6.5245647   3.5059404   2.459001  ...   5.7126994   1.1882535
   -9.050403 ]
 [-10.159389    3.2801397  -4.9204173 ...  -0.6567704  -3.6611524
   -6.260779 ]
 [  1.8607571   3.6011686   5.7131033 ...   6.829123   -2.40241
    4.33067  ]]",10.135912,3320.0619881439216,47.13684576222398,21.107056479330563,0.015419046297299904
53,150,6,0.2,57071.19277698471,2214.0341885375983,43.491652846433155,21.57591424435775,0.021330599601084986,411345,0.7748601175405739,4.8615270451947294,0.17094519207953932,"[[  7.5617085   -5.815923     2.7724519  ...   1.4036674   -1.2295331
    0.42792082]
 [ -7.146787     1.7154934    2.473547   ...   9.657793    -2.2988768
    3.575679  ]
 [-10.197824     2.1233275   -1.8911443  ...  -0.02776677  -6.209282
   -7.520706  ]
 ...
 [  1.122701     4.3543572   -3.2691774  ...   6.140751    -4.5284624
   -2.049038  ]
 [ -1.3504622    0.05795026  -3.8154309  ...   1.6059971    2.3545008
   -2.4298196 ]
 [  0.20861882   3.8488069    1.8461007  ...   2.9733508   -4.1990767
    3.5664139 ]]",8.331273,3611.853793945312,47.45775472808553,21.044549646570058,0.014270167362320101
54,150,7,0.2,57071.26271199265,1958.4066875457765,43.53149680749038,21.686005859323682,0.02413624294534815,411396,0.8352701635407411,5.112258585069446,0.14676814627059132,"[[  2.4058635    2.5427892   -3.0697236  ...   5.851416    -2.5470133
   -2.1108608 ]
 [ -1.4331328   -6.2146773    2.3140237  ...  -3.1814651   -6.3770037
    5.781092  ]
 [  3.5140584    0.62850857  -4.4057646  ...   1.3111042    9.436366
   -2.8008044 ]
 ...
 [ 11.659365     5.6696544    7.9522967  ...  -7.3464494    2.3183177
   -1.1698208 ]
 [  5.4572387  -11.62751      0.18354726 ...  12.159376     5.059634
    2.2835803 ]
 [ -0.8826739   -1.2938318    7.5582914  ...  -6.4586697    0.9009222
   -2.8463833 ]]",8.548045,3455.870076980592,47.820090338126754,21.069369550891302,0.015027697923519713
55,150,8,0.2,57071.33166989243,1415.7481127166752,42.567490327970205,21.953674895146655,0.03264677431892228,411446,1.0110760632741234,5.514769933286383,0.1662710649401301,"[[  2.1032052    8.926383     0.16602993 ...   4.8310127    6.290634
   -3.8395565 ]
 [  1.6540378   -3.8146257   -4.8839808  ...   7.135146    -4.0526676
    0.81131727]
 [ -5.4929533    2.1236043    7.791249   ...  -4.9122887   -0.32064176
   -0.6615927 ]
 ...
 [ -8.030481    11.68163     -0.2243191  ...  -0.4537058  -10.755323
   -4.2575116 ]
 [  3.5366392   -1.0040121   -0.12426198 ...   6.322828    11.371912
    1.3446094 ]
 [  1.8629413    0.43997192   2.782721   ...   0.3769645    0.89122343
   -4.262837  ]]",10.139589,3429.132622070313,48.3069726340794,20.993179168974784,0.015298847828188968
56,175,1,0.2,57070.12849006801,1769.8500887298587,43.70402514950585,21.809976448986273,0.026812551596912714,410905,1.0152919621046252,5.373419765536835,0.20442062375319936,"[[ 1.6776415e+00 -6.3617840e+00 -1.1390418e+00 ...  8.7876225e+00
   2.4809713e+00  9.0171270e+00]
 [ 2.2634578e+00  8.9492369e+00  9.7154484e+00 ... -1.3367863e+00
   1.1297690e+00  1.8370177e+00]
 [-5.6029005e+00  5.5016670e+00  6.8584719e+00 ...  6.0388670e+00
   8.7622404e-03 -2.4431121e-01]
 ...
 [ 3.9217243e+00  4.9818888e+00  2.3785586e+00 ...  4.3002448e+00
  -2.0630634e+00  1.3815947e+01]
 [ 3.1024518e+00 -4.2261147e+00  5.4890456e+00 ...  3.6870589e+00
  -1.4264992e+01 -1.5762398e+00]
 [-9.3006432e-02  5.2019291e+00 -4.0090795e+00 ...  3.6340747e+00
  -7.5069785e+00  2.2847044e+00]]",17.657543,6081.002445373535,55.01294934605401,20.46987970873898,0.009827183731119736
