,exposure,magzero,magzero_rms,exptime,gainA,gainB,mjd,fwhm_pixels
0,411345.0,25.1026289233899,0.000346034514872407,86.0,3.83,3.837,57071.19277698471,2.8698522871873107
1,411295.0,25.0736758322118,0.000360704862260793,86.0,3.83,3.837,57071.12506984007,3.338121508424942
2,411245.0,24.9858694138912,0.000330562038343256,86.0,3.83,3.837,57071.05728660731,3.795008978865868
3,411396.0,25.0795169399449,0.000346012733516042,86.0,3.83,3.837,57071.26271199265,3.093593198299041
4,411446.0,24.9948937454289,0.000342508988098394,86.0,3.83,3.837,57071.33166989243,3.744726160274531
5,410905.0,25.0935715257725,0.000309149588869208,86.0,3.83,3.837,57070.12849006801,3.7603406003875013
6,410961.0,25.1014994876859,0.000342818838249894,86.0,3.83,3.837,57070.21393502304,3.845806484340428
7,411011.0,25.0759176417006,0.000324364289049625,86.0,3.83,3.837,57070.28257967249,3.772854094468558
